"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","PRCP_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"IN017042600","CUTTACK, IN","20.467","85.933","27.0","2005-05-19",,,"82","H,,S",,,,
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-01-31",,,"73","H,,S","86",",,S",,
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-02-01",,,"72","H,,S","84",",,S","62",",,S"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-02-02",,,"73","H,,S","87",",,S","61",",,S"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-02-03",,,"77","H,,S","90",",,S",,
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-02-04",,,"78","H,,S","90",",,S",,
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-02-05",,,"79","H,,S","90",",,S","69",",,S"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-02-06",,,"78","H,,S","85",",,S","71",",,S"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-02-07","0.00",",,S","76","H,,S","86",",,S","70",",,S"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-02-08",,,"74","H,,S","84",",,S","68",",,S"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-02-09","0.00",",,S","73","H,,S",,,"69",",,S"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-02-10",,,"76","H,,S","85",",,S","68",",,S"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-02-11",,,"77","H,,S","85",",,S","69",",,S"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-02-12",,,"82","H,,S","90",",,S","73",",,S"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-02-13","0.04",",,S","73","H,,S","79",",,S",,
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-02-14","0.16",",,S","74","H,,S","82",",,S","65",",,S"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-02-15","0.00",",,S","73","H,,S","84",",,S","62",",,S"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-02-16",,,"74","H,,S","86",",,S","61",",,S"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-02-17",,,"78","H,,S","90",",,S","67",",,S"
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-02-18","0.00",",,S","74","H,,S","80",",,S",,
"IN017111200","BHUBANESWAR, IN","20.25","85.833","46.0","2000-02-19",,,"72","H,,S","81",",,S","64",",,S"
